ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
33057,Arianna Errigo,F,24.0,180.0,68.0,Italy,ITA,2012 Summer,2012,Summer,London,Fencing,"Fencing Women's Foil, Individual",Silver
33057,Arianna Errigo,F,24.0,180.0,68.0,Italy,ITA,2012 Summer,2012,Summer,London,Fencing,"Fencing Women's Foil, Team",Gold
33079,Anthony Lee Ervin,M,19.0,191.0,80.0,United States,USA,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 50 metres Freestyle,Gold
33079,Anthony Lee Ervin,M,19.0,191.0,80.0,United States,USA,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
33079,Anthony Lee Ervin,M,35.0,191.0,80.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 50 metres Freestyle,Gold
33079,Anthony Lee Ervin,M,35.0,191.0,80.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
33095,"Srgio ""Escadinha"" Dutra dos Santos",M,28.0,184.0,78.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Volleyball,Volleyball Men's Volleyball,Gold
33095,"Srgio ""Escadinha"" Dutra dos Santos",M,32.0,184.0,78.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Men's Volleyball,Silver
33095,"Srgio ""Escadinha"" Dutra dos Santos",M,36.0,184.0,78.0,Brazil,BRA,2012 Summer,2012,Summer,London,Volleyball,Volleyball Men's Volleyball,Silver
33095,"Srgio ""Escadinha"" Dutra dos Santos",M,40.0,184.0,78.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Gold
33126,Sergi Escobar Roure,M,29.0,179.0,74.0,Spain,ESP,2004 Summer,2004,Summer,Athina,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Bronze
33126,Sergi Escobar Roure,M,29.0,179.0,74.0,Spain,ESP,2004 Summer,2004,Summer,Athina,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
33142,Jos Antonio Escuredo Raimndez,M,34.0,179.0,90.0,Spain,ESP,2004 Summer,2004,Summer,Athina,Cycling,Cycling Men's Keirin,Silver
33185,Anna Espar Llaquet,F,19.0,180.0,66.0,Spain,ESP,2012 Summer,2012,Summer,London,Water Polo,Water Polo Women's Water Polo,Silver
